model prior treeSize rep method collision trueNmus estNmus
s0d100 01 sub250 r05 Startle 0.07084745770929712 27 28
s0d100 01 sub250 r05 Startle 0.0923300846928096 29 27
s0d100 01 sub250 r05 Startle 0.6501005458201663 34 30
s0d100 01 sub250 r05 Startle 0.11717390320470354 28 27
s0d100 01 sub250 r05 Startle 0.8936718904979173 10 8
s0d100 01 sub250 r05 Startle 0.6501005458201663 11 11
s0d100 01 sub250 r05 Startle 0.6544421487603302 44 35
s0d100 01 sub250 r05 Startle 0.07435238519555733 35 35
s0d100 01 sub250 r05 Startle 0.8276643990929707 35 35
s0d100 01 sub250 r05 Startle 0.07391235078303943 24 22
s0d100 01 sub250 r05 Startle 0.1408822513476628 35 32
s0d100 01 sub250 r05 Startle 0.506172839506173 26 22
s0d100 01 sub250 r05 Startle 0.1056547619047619 33 31
s0d100 01 sub250 r05 Startle 0.04998488191013573 29 28
s0d100 01 sub250 r05 Startle 0.11375227912395963 41 39
s0d100 01 sub250 r05 Startle 0.0831366916316132 30 30
s0d100 01 sub250 r05 Startle 0.24000000000000007 31 27
s0d100 01 sub250 r05 Startle 0.07281498073244905 25 24
s0d100 01 sub250 r05 Startle 0.08088172664770402 45 44
s0d100 01 sub250 r05 Startle 0.06043714314909277 26 24
s0d100 01 sub250 r05 Startle 0.093643069452796 17 16
s0d100 01 sub250 r05 Startle 0.6573781480417507 33 30
s0d100 01 sub250 r05 Startle 0.06881374304835514 39 37
s0d100 01 sub250 r05 Startle 0.6302237757872725 12 11
s0d100 01 sub250 r05 Cass-greedy 0.7373002754820938 23 28
s0d100 01 sub250 r05 Cass-greedy 0.6121810018903592 0 1
s0d100 01 sub250 r05 Cass-greedy 1.0 42 54
s0d100 01 sub250 r05 Cass-greedy 0.8003525076109598 29 36
s0d100 01 sub250 r05 Cass-greedy 0.040868105810249335 26 27
s0d100 01 sub250 r05 Cass-greedy 0.11625526802607089 18 19
s0d100 01 sub250 r05 Cass-greedy 0.07084745770929712 27 31
s0d100 01 sub250 r05 Cass-greedy 0.0923300846928096 29 35
s0d100 01 sub250 r05 Cass-greedy 0.6501005458201663 34 38
s0d100 01 sub250 r05 Cass-greedy 0.11717390320470354 28 29
s0d100 01 sub250 r05 Cass-greedy 0.8936718904979173 10 13
s0d100 01 sub250 r05 Cass-greedy 0.6501005458201663 11 18
s0d100 01 sub250 r05 Cass-greedy 0.6544421487603302 44 50
