type model prior treeSize rep nMissing nSilenceTrue nSilenceEst nDropoutTrue nDropoutEst nCorrect accuracy
estTopo s50d50 03 sub250 r03 1987 1060 914 927 1073 1687 0.8490186210367388
trueTopo s50d50 03 sub250 r03 1987 1060 895 927 1092 1720 0.8656265727226975
estTopo s50d50 03 sub250 r04 1970 1052 935 918 1035 1703 0.8644670050761422
trueTopo s50d50 03 sub250 r04 1970 1052 958 918 1012 1724 0.8751269035532995
estTopo s50d50 03 sub250 r05 1939 1037 937 902 1002 1649 0.850438370293966
trueTopo s50d50 03 sub250 r05 1939 1037 924 902 1015 1668 0.8602372356884992
estTopo s50d50 04 sub250 r01 1837 934 837 903 1000 1578 0.859009254218835
trueTopo s50d50 04 sub250 r01 1837 934 842 903 995 1593 0.8671747414262384
estTopo s50d50 04 sub250 r02 1847 919 848 928 999 1570 0.8500270709258256
trueTopo s50d50 04 sub250 r02 1847 919 851 928 996 1599 0.8657282079047104
estTopo s50d50 04 sub250 r03 1829 947 837 882 992 1567 0.8567523236741389
trueTopo s50d50 04 sub250 r03 1829 947 824 882 1005 1578 0.8627665390924002
estTopo s50d50 04 sub250 r04 1796 905 820 891 976 1527 0.8502227171492205
trueTopo s50d50 04 sub250 r04 1796 905 822 891 974 1551 0.8635857461024499
estTopo s50d50 04 sub250 r05 1820 921 847 899 973 1586 0.8714285714285714
trueTopo s50d50 04 sub250 r05 1820 921 845 899 975 1604 0.8813186813186813
estTopo s50d50 05 sub250 r01 2081 1197 1076 884 1005 1798 0.8640076886112446
trueTopo s50d50 05 sub250 r01 2081 1197 1097 884 984 1819 0.8740989908697742
estTopo s50d50 05 sub250 r02 2080 1137 1023 943 1057 1788 0.8596153846153847
trueTopo s50d50 05 sub250 r02 2080 1137 996 943 1084 1803 0.8668269230769231
estTopo s50d50 05 sub250 r03 2032 1130 999 902 1033 1733 0.8528543307086615
trueTopo s50d50 05 sub250 r03 2032 1130 1013 902 1019 1757 0.8646653543307087
estTopo s50d50 05 sub250 r04 2063 1198 1063 865 1000 1792 0.868637905962191
trueTopo s50d50 05 sub250 r04 2063 1198 1055 865 1008 1826 0.8851187590887057
estTopo s50d50 05 sub250 r05 2022 1130 1007 892 1015 1723 0.8521266073194856
trueTopo s50d50 05 sub250 r05 2022 1130 1007 892 1015 1755 0.8679525222551929
estTopo s50d50 06 sub250 r01 2018 1168 1104 850 914 1738 0.8612487611496531
trueTopo s50d50 06 sub250 r01 2018 1168 1102 850 916 1772 0.8780971258671952
estTopo s50d50 06 sub250 r02 2041 1187 1100 854 941 1804 0.8838804507594317
trueTopo s50d50 06 sub250 r02 2041 1187 1115 854 926 1835 0.8990690837824595
estTopo s50d50 06 sub250 r03 2034 1166 1064 868 970 1748 0.8593903638151426
trueTopo s50d50 06 sub250 r03 2034 1166 1063 868 971 1779 0.8746312684365781
estTopo s50d50 06 sub250 r04 2096 1197 1128 899 968 1807 0.862118320610687
trueTopo s50d50 06 sub250 r04 2096 1197 1122 899 974 1839 0.8773854961832062
estTopo s50d50 06 sub250 r05 2036 1142 1003 894 1033 1789 0.8786836935166994
trueTopo s50d50 06 sub250 r05 2036 1142 1000 894 1036 1812 0.8899803536345776
estTopo s50d50 07 sub250 r01 2274 1410 1314 864 960 2024 0.890061565523307
trueTopo s50d50 07 sub250 r01 2274 1410 1319 864 955 2037 0.895778364116095
estTopo s50d50 07 sub250 r02 2214 1336 1254 878 960 1976 0.8925022583559169
trueTopo s50d50 07 sub250 r02 2214 1336 1250 878 964 2008 0.9069557362240289
estTopo s50d50 07 sub250 r03 2188 1313 1234 875 954 1949 0.8907678244972578
trueTopo s50d50 07 sub250 r03 2188 1313 1231 875 957 1974 0.9021937842778793
estTopo s50d50 07 sub250 r04 2184 1331 1253 853 931 1930 0.8836996336996337
trueTopo s50d50 07 sub250 r04 2184 1331 1237 853 947 1950 0.8928571428571429
estTopo s50d50 07 sub250 r05 2225 1363 1229 862 996 1997 0.8975280898876404
trueTopo s50d50 07 sub250 r05 2225 1363 1232 862 993 2008 0.9024719101123595
estTopo s50d50 08 sub250 r01 1955 1029 913 926 1042 1667 0.852685421994885
trueTopo s50d50 08 sub250 r01 1955 1029 916 926 1039 1686 0.8624040920716113
estTopo s50d50 08 sub250 r02 1878 991 870 887 1008 1609 0.8567625133120341
trueTopo s50d50 08 sub250 r02 1878 991 860 887 1018 1633 0.869542066027689
estTopo s50d50 08 sub250 r03 1904 1037 911 867 993 1650 0.8665966386554622
trueTopo s50d50 08 sub250 r03 1904 1037 904 867 1000 1669 0.8765756302521008
estTopo s50d50 08 sub250 r04 1982 1058 976 924 1006 1700 0.8577194752774975
trueTopo s50d50 08 sub250 r04 1982 1058 949 924 1033 1721 0.8683148335015136
estTopo s50d50 08 sub250 r05 1975 1036 935 939 1040 1704 0.8627848101265823
trueTopo s50d50 08 sub250 r05 1975 1036 927 939 1048 1730 0.8759493670886076
estTopo s50d50 09 sub250 r01 1825 919 807 906 1018 1563 0.8564383561643836
trueTopo s50d50 09 sub250 r01 1825 919 818 906 1007 1576 0.8635616438356164
estTopo s50d50 09 sub250 r02 1814 905 768 909 1046 1517 0.8362734288864389
trueTopo s50d50 09 sub250 r02 1814 905 768 909 1046 1543 0.850606394707828
estTopo s50d50 09 sub250 r03 1895 938 817 957 1078 1604 0.8464379947229551
trueTopo s50d50 09 sub250 r03 1895 938 831 957 1064 1638 0.8643799472295515
estTopo s50d50 09 sub250 r04 1821 905 852 916 969 1524 0.8369028006589786
trueTopo s50d50 09 sub250 r04 1821 905 827 916 994 1547 0.8495332235035694
estTopo s50d50 09 sub250 r05 1850 926 828 924 1022 1540 0.8324324324324325
trueTopo s50d50 09 sub250 r05 1850 926 816 924 1034 1584 0.8562162162162162
estTopo s50d50 10 sub250 r01 1742 808 696 934 1046 1400 0.8036739380022963
trueTopo s50d50 10 sub250 r01 1742 808 709 934 1033 1443 0.8283582089552238
estTopo s50d50 10 sub250 r02 1780 827 712 953 1068 1519 0.8533707865168539
trueTopo s50d50 10 sub250 r02 1780 827 722 953 1058 1551 0.8713483146067416
estTopo s50d50 10 sub250 r03 1784 815 667 969 1117 1476 0.827354260089686
trueTopo s50d50 10 sub250 r03 1784 815 654 969 1130 1509 0.8458520179372198
estTopo s50d50 10 sub250 r04 1752 825 658 927 1094 1453 0.829337899543379
trueTopo s50d50 10 sub250 r04 1752 825 635 927 1117 1490 0.8504566210045662
estTopo s50d50 10 sub250 r05 1731 842 741 889 990 1446 0.8353552859618717
trueTopo s50d50 10 sub250 r05 1731 842 757 889 974 1472 0.8503755054881571
estTopo s75d25 01 sub250 r01 2121 1669 1683 452 438 1829 0.8623290900518623
trueTopo s75d25 01 sub250 r01 2121 1669 1548 452 573 1870 0.8816595945308816
estTopo s75d25 01 sub250 r02 2147 1665 1563 482 584 1859 0.8658593386120168
trueTopo s75d25 01 sub250 r02 2147 1665 1521 482 626 1897 0.8835584536562645
estTopo s75d25 01 sub250 r03 2084 1620 1592 464 492 1782 0.8550863723608445
trueTopo s75d25 01 sub250 r03 2084 1620 1496 464 588 1820 0.8733205374280231
estTopo s75d25 01 sub250 r04 2107 1677 1649 430 458 1859 0.882297104888467
trueTopo s75d25 01 sub250 r04 2107 1677 1614 430 493 1900 0.9017560512577124
estTopo s75d25 01 sub250 r05 2070 1593 1498 477 572 1783 0.8613526570048309
trueTopo s75d25 01 sub250 r05 2070 1593 1466 477 604 1817 0.8777777777777778
estTopo s75d25 02 sub250 r01 2119 1684 1750 435 369 1841 0.8688060405851817
trueTopo s75d25 02 sub250 r01 2119 1684 1692 435 427 1863 0.8791882963662104
estTopo s75d25 02 sub250 r02 2090 1683 1641 407 449 1852 0.8861244019138756
trueTopo s75d25 02 sub250 r02 2090 1683 1645 407 445 1870 0.8947368421052632
estTopo s75d25 02 sub250 r03 2074 1642 1597 432 477 1813 0.8741562198649951
trueTopo s75d25 02 sub250 r03 2074 1642 1565 432 509 1821 0.8780135004821601
estTopo s75d25 02 sub250 r04 2106 1677 1675 429 431 1876 0.8907882241215574
trueTopo s75d25 02 sub250 r04 2106 1677 1663 429 443 1892 0.8983855650522318
estTopo s75d25 02 sub250 r05 2073 1627 1639 446 434 1841 0.8880849011095031
trueTopo s75d25 02 sub250 r05 2073 1627 1625 446 448 1847 0.8909792571152918
estTopo s75d25 03 sub250 r01 2317 1902 1798 415 519 2061 0.8895123003884333
trueTopo s75d25 03 sub250 r01 2317 1902 1795 415 522 2092 0.9028916702632714
estTopo s75d25 03 sub250 r02 2310 1857 1903 453 407 2082 0.9012987012987013
trueTopo s75d25 03 sub250 r02 2310 1857 1888 453 422 2093 0.906060606060606
estTopo s75d25 03 sub250 r03 2332 1866 1847 466 485 2081 0.8923670668953688
trueTopo s75d25 03 sub250 r03 2332 1866 1835 466 497 2095 0.8983704974271012
