model_condition,method,memory_kb,cpu_percent,runtime_seconds
k30M30p07_medium_sub500_r03,greedy,232788,8.54,0
k30M30p07_medium_sub500_r04,greedy,233900,8.54,0
k30M30p07_medium_sub500_r05,greedy,232612,8.54,0
k30M30p08_medium_sub500_r01,greedy,233292,8.54,0
k30M30p08_medium_sub500_r02,greedy,233740,8.54,0
k30M30p08_medium_sub500_r03,greedy,233056,8.54,0
k30M30p08_medium_sub500_r04,greedy,234448,8.54,0
k30M30p08_medium_sub500_r05,greedy,233016,8.54,0
k30M30p09_medium_sub500_r01,greedy,233096,8.54,0
k30M30p09_medium_sub500_r02,greedy,233352,8.54,0
k30M30p09_medium_sub500_r03,greedy,228.50M,8.54,0
k30M30p09_medium_sub500_r04,greedy,233564,8.54,0
k30M30p09_medium_sub500_r05,greedy,233976,8.54,0
k30M30p10_medium_sub500_r01,greedy,233268,8.54,0
k30M30p10_medium_sub500_r02,greedy,233548,8.54,0
k30M30p10_medium_sub500_r03,greedy,234060,8.54,0
k30M30p10_medium_sub500_r04,greedy,232912,8.54,0
k30M30p10_medium_sub500_r05,greedy,233492,8.54,0
k30M100p01_medium_sub250_r01,greedy,233912,7.32,0
k30M100p01_medium_sub250_r02,greedy,233832,7.32,0
k30M100p01_medium_sub250_r03,greedy,234020,7.32,0
k30M100p01_medium_sub250_r04,greedy,235416,7.32,0
k30M100p01_medium_sub250_r05,greedy,234532,7.32,0
k30M100p02_medium_sub250_r01,greedy,234256,7.32,0
k30M100p02_medium_sub250_r02,greedy,233752,7.32,0
k30M100p02_medium_sub250_r03,greedy,234144,7.32,0
k30M100p02_medium_sub250_r04,greedy,233912,7.32,0
k30M100p02_medium_sub250_r05,greedy,234388,7.32,0
k30M100p03_medium_sub250_r01,greedy,235308,6.10,0
k30M100p03_medium_sub250_r02,greedy,233416,7.32,0
k30M100p03_medium_sub250_r03,greedy,233500,7.32,0
k30M100p03_medium_sub250_r04,greedy,233504,7.32,0
k30M100p03_medium_sub250_r05,greedy,234412,7.32,0
k30M100p04_medium_sub250_r01,greedy,234068,7.32,0
k30M100p04_medium_sub250_r02,greedy,234412,7.32,0
k30M100p04_medium_sub250_r03,greedy,234248,7.32,0
k30M100p04_medium_sub250_r04,greedy,234028,7.32,0
k30M100p04_medium_sub250_r05,greedy,234256,7.32,0
k30M100p05_medium_sub250_r01,greedy,234832,7.32,0
k30M100p05_medium_sub250_r02,greedy,233276,7.32,0
k30M100p05_medium_sub250_r03,greedy,233300,7.32,0
k30M100p05_medium_sub250_r04,greedy,232912,7.32,0
k30M100p05_medium_sub250_r05,greedy,233844,7.32,0
k30M100p06_medium_sub250_r01,greedy,233388,7.32,0
k30M100p06_medium_sub250_r02,greedy,234700,7.32,0
k30M100p06_medium_sub250_r03,greedy,233780,7.32,0
k30M100p06_medium_sub250_r04,greedy,235048,7.32,0
k30M100p06_medium_sub250_r05,greedy,234936,7.32,0
k30M100p07_medium_sub250_r01,greedy,233564,7.32,0
